инструкторы инструктора
редакторы редактора
лекторы лектора
ректоры ректора
конструкторы конструктора
прожекторы прожектора
секторы сектора
инженеры инженера
шофёры шофёра
бухгалтеры бухгалтера
диспетчеры диспетчера
договоры договора
приговоры приговора
плейеры плейера
драйверы драйвера
принтеры принтера
директора директоры
профессора профессоры
инспектора инспекторы
доктора докторы
катера катеры
ордера ордеры
тенора теноры
фельдшера фельдшеры
флюгера флюгеры
хутора хуторы
шулера шулеры
буфера буферы
веера вееры
буера буеры
грифели грифеля
госпитали госпиталя
векселя вексели
вензеля вензели
кителя кители
штабеля штабели
штемпеля штемпели
тополя тополи
шомпола шомполы
колокола колоколы
купола куполы
слесари слесаря
токари токаря
конюхи конюха
возрасты возраста
кремы крема
грунты грунта
порты порты
склады склада
фронты фронта
штабы штаба
борта борты
желоба желобы
жернова жерновы
кузова кузовы
окорока окороки
округа округи
острова островы
отпуска отпуски
паруса парусы
паспорта паспорты
погреба погребы
стога стоги
сорта сорты
сторожа сторожи
тетерева тетеревы
апельсинов апельсин
помидоров помидор
ананасов ананас
мандаринов мандарин
баклажанов баклажан
калмыков калмык
киргизов киргиз
монголов монгол
семитов семит
таджиков таджик
тунгусов тунгус
узбеков узбек
хорватов хорват
якутов якут
турок турков 
бурят бурятовов
башкир башкиров
болгар болгаров
грузин грузинов
лезгин лезгинов
осетин осетинов
румын румынов
татар татаров
туркмен туркменов
цыган цыганов
бедуинов бедуин
байтов байт
гектаров гектар
граммов грамм
децибелов децибел
каратов карат
килограммов килограмм
ампер амперов
аршин аршинов
радиан радианов
рентген рентгенов
носков носок
гольфов гольф
рельсов рельс
бронхов бронх
джинсов джинс
лампасов лампас
бриджей бридж
ботинок ботиноков
чулок чулков
шаровар шароваров
шорт  шортов
туфель туфлей
сапог сапогов
тапок тапков
галош галошей
бахил бахилов 
бутс бутсов
валенок валенков
манжет манжетов
серёг серьг
клипс клипсов
